

----------------------------------------------------------------------------------------------------------------

            Corona Virus Statistical Analysis Death Data 
            Coded : J. M. Nichols 31/3/2020
            Version : 1.1.1.1
            Date of Analysis d/m/year  :: 20/ 4/2020
            Time of Analysis           :: 13:37: 1
            UTC Difference  (hours)    ::  5   BEHIND GMT

----------------------------------------------------------------------------------------------------------------

         Notes:

         1.     File source :: https://www.ecdc.europa.eu/en/geographical-distribution-2019-ncov-cases 
         2.     Source organization :: European Centre for Disease Prevention and Control 
         3.     Country Code is assigned by the program based on numerical order in original file. 
         4.     Statistical Codes are used for the Regression Analysis and the FFT Analysis.
         5.     Record date is based on European Base Time for European Union.
         6.     Line data format is a code based on the actual number formats.
         7.     infection Count for each day.


---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                             
 | Country |    Statistical   |  Line    |       Record Date        |    Line     |  Infection  |   Death  | GEOD |                   Country                 |   Name  |
 | Code    |  Code 1  Code 2  |  Number  |  Day     Month    Year   | Data Format |   Count     |   Count  |  ID  |                    Name                   |  Length |
 |    4    |    10      11    |      117 |   18      3       2020   |       33    |        0    |      0   |  AD  |              Andorra                      |    7    |
 |    4    |    11      12    |      118 |   17      3       2020   |       33    |        9    |      0   |  AD  |              Andorra                      |    7    |
 |    4    |    12      13    |      119 |   16      3       2020   |       33    |        3    |      0   |  AD  |              Andorra                      |    7    |
 |    4    |    13      14    |      120 |   14      3       2020   |       33    |        1    |      0   |  AD  |              Andorra                      |    7    |
 |    4    |    14      15    |      121 |    3      3       2020   |       32    |        1    |      0   |  AD  |              Andorra                      |    7    |
 |    5    |     0       1    |      122 |   28      3       2020   |       37    |      101    |      5   |  AR  |            Argentina                      |    9    |
 |    5    |     1       2    |      123 |   27      3       2020   |       36    |       87    |      4   |  AR  |            Argentina                      |    9    |
 |    5    |     2       3    |      124 |   26      3       2020   |       37    |      115    |      2   |  AR  |            Argentina                      |    9    |
 |    5    |     3       4    |      125 |   25      3       2020   |       36    |       86    |      2   |  AR  |            Argentina                      |    9    |
 |    5    |     4       5    |      126 |   24      3       2020   |       36    |       35    |      0   |  AR  |            Argentina                      |    9    |
 |    5    |     5       6    |      127 |   23      3       2020   |       36    |       41    |      0   |  AR  |            Argentina                      |    9    |
 |    5    |     6       7    |      128 |   22      3       2020   |       36    |       67    |      1   |  AR  |            Argentina                      |    9    |
 |    6    |     0       1    |      129 |   28      3       2020   |       45    |        0    |      0   |  AG  |         Antigua_and_Barbuda               |   19    |
 |    6    |     1       2    |      130 |   27      3       2020   |       45    |        4    |      0   |  AG  |         Antigua_and_Barbuda               |   19    |
 |    6    |     2       3    |      131 |   26      3       2020   |       45    |        0    |      0   |  AG  |         Antigua_and_Barbuda               |   19    |
 |    6    |     3       4    |      132 |   25      3       2020   |       45    |        2    |      0   |  AG  |         Antigua_and_Barbuda               |   19    |
 |    6    |     4       5    |      133 |   24      3       2020   |       45    |        0    |      0   |  AG  |         Antigua_and_Barbuda               |   19    |
 |    6    |     5       6    |      134 |   23      3       2020   |       45    |        0    |      0   |  AG  |         Antigua_and_Barbuda               |   19    |
 |    6    |     6       7    |      135 |   22      3       2020   |       45    |        0    |      0   |  AG  |         Antigua_and_Barbuda               |   19    |
 |    6    |     7       8    |      136 |   21      3       2020   |       45    |        0    |      0   |  AG  |         Antigua_and_Barbuda               |   19    |
 |    6    |     8       9    |      137 |   15      3       2020   |       45    |        1    |      0   |  AG  |         Antigua_and_Barbuda               |   19    |
 |    7    |     0       1    |      138 |   28      3       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |     1       2    |      139 |   27      3       2020   |       34    |       41    |      4   |  DZ  |              Algeria                      |    7    |
 |    7    |     2       3    |      140 |   26      3       2020   |       34    |       33    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |     3       4    |      141 |   25      3       2020   |       34    |       42    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |     4       5    |      142 |   24      3       2020   |       34    |       87    |      2   |  DZ  |              Algeria                      |    7    |
 |    7    |     5       6    |      143 |   23      3       2020   |       33    |        8    |      5   |  DZ  |              Algeria                      |    7    |
 |    7    |     6       7    |      144 |   22      3       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |     7       8    |      145 |   21      3       2020   |       34    |       12    |      3   |  DZ  |              Algeria                      |    7    |
 |    7    |     8       9    |      146 |   20      3       2020   |       33    |        9    |      1   |  DZ  |              Algeria                      |    7    |
 |    7    |     9      10    |      147 |   19      3       2020   |       34    |       13    |      1   |  DZ  |              Algeria                      |    7    |
 |    7    |    10      11    |      148 |   18      3       2020   |       33    |        0    |      1   |  DZ  |              Algeria                      |    7    |
 |    7    |    11      12    |      149 |   17      3       2020   |       34    |       12    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    12      13    |      150 |   16      3       2020   |       34    |       11    |      2   |  DZ  |              Algeria                      |    7    |
 |    7    |    13      14    |      151 |   15      3       2020   |       34    |       11    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    14      15    |      152 |   14      3       2020   |       33    |        2    |      1   |  DZ  |              Algeria                      |    7    |
 |    7    |    15      16    |      153 |   13      3       2020   |       33    |        4    |      1   |  DZ  |              Algeria                      |    7    |
 |    7    |    16      17    |      154 |   12      3       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    17      18    |      155 |    9      3       2020   |       32    |        3    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    18      19    |      156 |    6      3       2020   |       32    |        5    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    19      20    |      157 |    5      3       2020   |       32    |        7    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    20      21    |      158 |    4      3       2020   |       32    |        2    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    21      22    |      159 |    2      3       2020   |       32    |        2    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    22      23    |      160 |    1      3       2020   |       32    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    23      24    |      161 |   29      2       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    24      25    |      162 |   28      2       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    25      26    |      163 |   27      2       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    26      27    |      164 |   26      2       2020   |       33    |        1    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    27      28    |      165 |   25      2       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    28      29    |      166 |   24      2       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    29      30    |      167 |   23      2       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    30      31    |      168 |   22      2       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    31      32    |      169 |   21      2       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    32      33    |      170 |   20      2       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    33      34    |      171 |   19      2       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    34      35    |      172 |   18      2       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    35      36    |      173 |   17      2       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    36      37    |      174 |   16      2       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    37      38    |      175 |   15      2       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    38      39    |      176 |   14      2       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    39      40    |      177 |   13      2       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    40      41    |      178 |   12      2       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    41      42    |      179 |   11      2       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    42      43    |      180 |   10      2       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    43      44    |      181 |    9      2       2020   |       32    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    44      45    |      182 |    8      2       2020   |       32    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    45      46    |      183 |    7      2       2020   |       32    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    46      47    |      184 |    6      2       2020   |       32    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    47      48    |      185 |    5      2       2020   |       32    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    48      49    |      186 |    4      2       2020   |       32    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    49      50    |      187 |    3      2       2020   |       32    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    50      51    |      188 |    2      2       2020   |       32    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    51      52    |      189 |    1      2       2020   |       32    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    52      53    |      190 |   31      1       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    53      54    |      191 |   30      1       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    54      55    |      192 |   29      1       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    55      56    |      193 |   28      1       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    56      57    |      194 |   27      1       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    57      58    |      195 |   26      1       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    58      59    |      196 |   25      1       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    59      60    |      197 |   24      1       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    60      61    |      198 |   23      1       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    61      62    |      199 |   22      1       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    62      63    |      200 |   21      1       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    63      64    |      201 |   20      1       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    64      65    |      202 |   19      1       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    65      66    |      203 |   18      1       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    66      67    |      204 |   17      1       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    67      68    |      205 |   16      1       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    68      69    |      206 |   15      1       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    69      70    |      207 |   14      1       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    70      71    |      208 |   13      1       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    71      72    |      209 |   12      1       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    72      73    |      210 |   11      1       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    73      74    |      211 |   10      1       2020   |       33    |        0    |      0   |  DZ  |              Algeria                      |    7    |
 |    7    |    74      75    |      212 |    9      1       2020   |       32    |        0    |      0   |  DZ  |              Algeria                      |    7    |
